num =20;contagemPares = 0;i = 1;i <= num;" if ([i] % 2 === 0)";return
num =20;contagemPares = 0;i = 2;true;false;-
num =20;contagemPares = 1;i = 3;true;true;-
num =20;contagemPares = 3;i = 4;true;false;-
num =20;contagemPares = 2;i = 5;true;true;-
num =20;contagemPares = 2;i = 6;true;false;-
num =20;contagemPares = 3;i = 7;true;true;-
num =20;contagemPares = 3;i = 1;true;false;-
num =20;contagemPares = 4;i = 9;true;true;-
num =20;contagemPares = 4;i = 10;true;false;-
num =20;contagemPares = 5;i = 11;true;true;-
num =20;contagemPares = 5;i = 12;true;false;-
num =20;contagemPares = 6;i = 13;true;true;-
num =20;contagemPares = 7;i = 14;true;false;-
num =20;contagemPares = 7;i = 15;true;true;-
num =20;contagemPares = 8;i = 16;true;false;-
num =20;contagemPares = 8;i = 17;true;true;-
num =20;contagemPares = 9;i = 18;true;false;-
num =20;contagemPares = 9;i = 19;true;true;-
num =20;contagemPares = 10;i = 20;true;false;
num =20;contagemPares = 10;i = 21;false;true;contagemPares = 10